,"A","B","C","D","E","F","G","H","I","J","K"
337,Erica Rogers28,CEO28,Permanent28,24,81,98,38,20,75,14,50
338,Malcolm Barrett28,Exec. Vice Presiden28,Permanent28,36,65,43,52,15,73,40,50
339,Esther Baker28,Director of Operations28,Permanent28,74,9,73,91,43,62,35,50
340,Brittany Hanson28,Fleet Coordinator28,Permanent28,84,60,20,34,67,68,14,50
341,Leah Flowers28,Parts Technician28,Permanent28,25,30,78,95,18,31,66,50
342,Tammy Sutton28,Service Technician28,Permanent28,74,17,52,59,76,7,72,50
343,Derek Paul28,Inventory Control28,Permanent28,39,15,14,45,83,62,92,50
344,Francis Strickland28,VP Sales28,Permanent28,86,20,10,91,57,77,14,50
345,Morris Hanson28,Sales Manager28,Permanent28,39,70,34,91,73,49,11,50
346,Todd Tyler28,Sales Executive28,Permanent28,18,57,70,51,39,1,7,50
347,Bennie Wise28,Sales Executive28,Permanent28,73,70,36,94,88,90,89,50
348,Joel Cooper28,Sales Executive28,Permanent28,34,93,40,39,24,94,4,50
349,Erica Rogers29,CEO29,Permanent29,45,1,78,93,66,51,66,50
350,Malcolm Barrett29,Exec. Vice Presiden29,Permanent29,75,49,71,85,79,24,66,50
351,Esther Baker29,Director of Operations29,Permanent29,3,47,35,98,19,36,25,50
352,Brittany Hanson29,Fleet Coordinator29,Permanent29,63,11,61,19,50,88,43,50
353,Leah Flowers29,Parts Technician29,Permanent29,93,20,62,19,67,23,39,50
354,Tammy Sutton29,Service Technician29,Permanent29,80,6,37,49,71,93,21,50
355,Derek Paul29,Inventory Control29,Permanent29,59,28,72,53,53,96,72,50
356,Francis Strickland29,VP Sales29,Permanent29,70,90,57,93,29,53,47,50
357,Morris Hanson29,Sales Manager29,Permanent29,88,74,64,99,84,85,79,50
358,Todd Tyler29,Sales Executive29,Permanent29,80,51,20,76,4,50,16,50
359,Bennie Wise29,Sales Executive29,Permanent29,33,87,98,19,43,78,95,50
360,Joel Cooper29,Sales Executive29,Permanent29,59,87,77,48,37,35,28,50
361,Erica Rogers30,CEO30,Permanent30,60,2,51,79,61,17,7,50
362,Malcolm Barrett30,Exec. Vice Presiden30,Permanent30,36,84,73,82,1,22,25,50
363,Esther Baker30,Director of Operations30,Permanent30,81,96,80,73,28,79,26,50
364,Brittany Hanson30,Fleet Coordinator30,Permanent30,77,68,44,13,83,10,57,50
365,Leah Flowers30,Parts Technician30,Permanent30,70,38,36,76,93,65,17,50
366,Tammy Sutton30,Service Technician30,Permanent30,89,84,63,78,62,49,0,50
367,Derek Paul30,Inventory Control30,Permanent30,73,3,18,74,67,46,55,50
368,Francis Strickland30,VP Sales30,Permanent30,24,64,30,19,66,22,46,50
369,Morris Hanson30,Sales Manager30,Permanent30,82,55,44,86,83,18,16,50
370,Todd Tyler30,Sales Executive30,Permanent30,53,83,84,98,40,58,81,50
371,Bennie Wise30,Sales Executive30,Permanent30,26,69,20,37,19,42,62,50
372,Joel Cooper30,Sales Executive30,Permanent30,78,39,85,76,69,42,62,50
373,Erica Rogers31,CEO31,Permanent31,26,82,70,78,81,38,27,50
374,Malcolm Barrett31,Exec. Vice Presiden31,Permanent31,66,27,48,31,77,67,17,50
375,Esther Baker31,Director of Operations31,Permanent31,40,40,68,3,46,88,73,50
376,Brittany Hanson31,Fleet Coordinator31,Permanent31,94,0,4,18,59,11,9,50
377,Leah Flowers31,Parts Technician31,Permanent31,85,79,67,19,78,37,98,50
378,Tammy Sutton31,Service Technician31,Permanent31,54,66,49,75,71,24,61,50
379,Derek Paul31,Inventory Control31,Permanent31,58,80,40,16,30,2,22,50
380,Francis Strickland31,VP Sales31,Permanent31,4,4,32,5,92,76,22,50
381,Morris Hanson31,Sales Manager31,Permanent31,54,6,17,5,26,86,48,50
382,Todd Tyler31,Sales Executive31,Permanent31,2,72,15,62,13,57,48,50
383,Bennie Wise31,Sales Executive31,Permanent31,49,5,84,65,86,88,30,50
384,Joel Cooper31,Sales Executive31,Permanent31,28,18,13,85,56,89,3,50
385,Erica Rogers32,CEO32,Permanent32,28,90,89,87,39,76,85,50
386,Malcolm Barrett32,Exec. Vice Presiden32,Permanent32,79,61,47,26,90,87,60,50
387,Esther Baker32,Director of Operations32,Permanent32,3,3,40,97,1,42,49,50
388,Brittany Hanson32,Fleet Coordinator32,Permanent32,97,8,96,70,43,13,35,50
389,Leah Flowers32,Parts Technician32,Permanent32,54,63,38,2,80,35,84,50
390,Tammy Sutton32,Service Technician32,Permanent32,19,51,65,96,34,49,61,50
391,Derek Paul32,Inventory Control32,Permanent32,10,72,84,25,58,60,89,50
392,Francis Strickland32,VP Sales32,Permanent32,78,88,25,16,79,20,21,50
393,Morris Hanson32,Sales Manager32,Permanent32,46,9,16,6,48,94,26,50
394,Todd Tyler32,Sales Executive32,Permanent32,81,15,1,21,16,97,84,50
395,Bennie Wise32,Sales Executive32,Permanent32,17,85,79,95,16,99,19,50
396,Joel Cooper32,Sales Executive32,Permanent32,27,82,70,82,43,43,7,50
397,Erica Rogers33,CEO33,Permanent33,4,15,3,21,5,88,98,50
398,Malcolm Barrett33,Exec. Vice Presiden33,Permanent33,42,34,21,19,33,63,75,50
399,Esther Baker33,Director of Operations33,Permanent33,1,6,83,25,41,70,79,50
400,Brittany Hanson33,Fleet Coordinator33,Permanent33,59,76,2,59,18,67,50,50
401,Leah Flowers33,Parts Technician33,Permanent33,36,70,88,22,94,60,48,50
402,Tammy Sutton33,Service Technician33,Permanent33,26,59,73,68,12,10,17,50
403,Derek Paul33,Inventory Control33,Permanent33,8,79,59,55,37,39,20,50
404,Francis Strickland33,VP Sales33,Permanent33,75,80,38,83,62,85,40,50
405,Morris Hanson33,Sales Manager33,Permanent33,17,15,64,0,10,3,71,50
406,Todd Tyler33,Sales Executive33,Permanent33,59,65,40,29,74,40,42,50
407,Bennie Wise33,Sales Executive33,Permanent33,13,15,4,31,40,20,19,50
408,Joel Cooper33,Sales Executive33,Permanent33,51,25,40,46,0,94,41,50
409,Erica Rogers34,CEO34,Permanent34,65,11,56,56,90,99,35,50
410,Malcolm Barrett34,Exec. Vice Presiden34,Permanent34,99,78,70,17,29,49,88,50
411,Esther Baker34,Director of Operations34,Permanent34,55,18,25,41,4,65,59,50
412,Brittany Hanson34,Fleet Coordinator34,Permanent34,59,88,24,92,30,31,20,50
413,Leah Flowers34,Parts Technician34,Permanent34,46,14,6,78,19,78,60,50
414,Tammy Sutton34,Service Technician34,Permanent34,18,96,52,66,44,14,2,50
415,Derek Paul34,Inventory Control34,Permanent34,65,9,86,36,20,46,47,50
416,Francis Strickland34,VP Sales34,Permanent34,82,16,37,11,6,75,59,50
417,Morris Hanson34,Sales Manager34,Permanent34,31,45,97,88,84,45,22,50
418,Todd Tyler34,Sales Executive34,Permanent34,40,12,34,58,19,80,22,50
419,Bennie Wise34,Sales Executive34,Permanent34,82,94,66,50,95,64,44,50
420,Joel Cooper34,Sales Executive34,Permanent34,40,46,36,54,57,79,35,50
421,Erica Rogers35,CEO35,Permanent35,57,98,3,28,63,7,8,50
422,Malcolm Barrett35,Exec. Vice Presiden35,Permanent35,83,35,64,42,25,51,49,50
423,Esther Baker35,Director of Operations35,Permanent35,59,33,30,21,98,58,33,50
424,Brittany Hanson35,Fleet Coordinator35,Permanent35,93,96,90,58,93,34,95,50
425,Leah Flowers35,Parts Technician35,Permanent35,41,19,47,25,67,57,13,50
426,Tammy Sutton35,Service Technician35,Permanent35,64,22,64,67,1,85,47,50
427,Derek Paul35,Inventory Control35,Permanent35,36,91,54,19,99,64,0,50
428,Francis Strickland35,VP Sales35,Permanent35,2,86,14,74,37,78,82,50
429,Morris Hanson35,Sales Manager35,Permanent35,68,90,76,23,18,59,28,50
430,Todd Tyler35,Sales Executive35,Permanent35,18,74,88,80,29,77,89,50
431,Bennie Wise35,Sales Executive35,Permanent35,45,39,97,68,51,22,89,50
432,Joel Cooper35,Sales Executive35,Permanent35,93,39,89,62,85,12,73,50
433,Erica Rogers36,CEO36,Permanent36,25,90,28,95,15,2,56,50
434,Malcolm Barrett36,Exec. Vice Presiden36,Permanent36,86,85,85,90,3,14,87,50
435,Esther Baker36,Director of Operations36,Permanent36,15,65,25,33,85,42,27,50
436,Brittany Hanson36,Fleet Coordinator36,Permanent36,29,34,41,33,80,90,33,50
437,Leah Flowers36,Parts Technician36,Permanent36,56,6,50,49,32,92,30,50
438,Tammy Sutton36,Service Technician36,Permanent36,17,96,62,4,89,44,96,50
439,Derek Paul36,Inventory Control36,Permanent36,71,87,85,18,36,33,34,50
440,Francis Strickland36,VP Sales36,Permanent36,24,91,3,43,39,45,63,50
441,Morris Hanson36,Sales Manager36,Permanent36,50,98,96,46,5,82,45,50
442,Todd Tyler36,Sales Executive36,Permanent36,40,90,51,81,39,84,41,50
443,Bennie Wise36,Sales Executive36,Permanent36,77,6,21,1,88,92,63,50
444,Joel Cooper36,Sales Executive36,Permanent36,94,86,37,66,28,7,78,50
445,Erica Rogers37,CEO37,Permanent37,27,1,87,77,75,92,76,50
446,Malcolm Barrett37,Exec. Vice Presiden37,Permanent37,4,59,77,69,67,17,72,50
447,Esther Baker37,Director of Operations37,Permanent37,15,74,8,27,92,98,15,50
448,Brittany Hanson37,Fleet Coordinator37,Permanent37,71,8,52,86,42,44,79,50
449,Leah Flowers37,Parts Technician37,Permanent37,87,65,52,39,64,40,73,50
450,Tammy Sutton37,Service Technician37,Permanent37,70,48,31,18,62,82,65,50
451,Derek Paul37,Inventory Control37,Permanent37,79,86,25,39,86,36,96,50
452,Francis Strickland37,VP Sales37,Permanent37,3,89,65,3,78,0,15,50
453,Morris Hanson37,Sales Manager37,Permanent37,23,53,41,76,67,91,82,50
454,Todd Tyler37,Sales Executive37,Permanent37,48,69,97,67,91,95,9,50
455,Bennie Wise37,Sales Executive37,Permanent37,86,72,91,78,87,55,65,50
456,Joel Cooper37,Sales Executive37,Permanent37,60,74,68,12,48,16,93,50
457,Erica Rogers38,CEO38,Permanent38,24,62,29,14,16,98,77,50
458,Malcolm Barrett38,Exec. Vice Presiden38,Permanent38,36,4,55,89,95,17,16,50
459,Esther Baker38,Director of Operations38,Permanent38,79,82,59,59,13,61,61,50
460,Brittany Hanson38,Fleet Coordinator38,Permanent38,5,47,73,17,10,9,85,50
461,Leah Flowers38,Parts Technician38,Permanent38,78,85,1,21,43,61,32,50
462,Tammy Sutton38,Service Technician38,Permanent38,15,96,24,80,44,17,50,50
463,Derek Paul38,Inventory Control38,Permanent38,85,83,89,0,77,20,21,50
464,Francis Strickland38,VP Sales38,Permanent38,76,9,5,70,48,53,23,50
465,Morris Hanson38,Sales Manager38,Permanent38,39,21,37,16,20,15,69,50
466,Todd Tyler38,Sales Executive38,Permanent38,88,25,87,47,77,41,82,50
467,Bennie Wise38,Sales Executive38,Permanent38,40,19,74,23,45,96,31,50
468,Joel Cooper38,Sales Executive38,Permanent38,24,30,16,43,27,17,15,50
469,Erica Rogers39,CEO39,Permanent39,6,42,81,74,86,21,40,50
470,Malcolm Barrett39,Exec. Vice Presiden39,Permanent39,58,99,98,90,59,11,99,50
471,Esther Baker39,Director of Operations39,Permanent39,39,90,78,79,90,14,47,50
472,Brittany Hanson39,Fleet Coordinator39,Permanent39,84,89,7,5,65,16,64,50
473,Leah Flowers39,Parts Technician39,Permanent39,89,70,34,27,50,13,17,50
474,Tammy Sutton39,Service Technician39,Permanent39,54,32,48,41,16,32,84,50
475,Derek Paul39,Inventory Control39,Permanent39,40,48,95,30,56,19,24,50
476,Francis Strickland39,VP Sales39,Permanent39,15,82,39,56,0,33,90,50
477,Morris Hanson39,Sales Manager39,Permanent39,77,53,8,18,41,4,81,50
478,Todd Tyler39,Sales Executive39,Permanent39,76,83,81,40,28,32,97,50
479,Bennie Wise39,Sales Executive39,Permanent39,44,58,73,58,64,63,36,50
480,Joel Cooper39,Sales Executive39,Permanent39,77,25,68,73,62,9,69,50
481,Erica Rogers40,CEO40,Permanent40,69,14,12,87,57,20,9,50
482,Malcolm Barrett40,Exec. Vice Presiden40,Permanent40,63,63,98,38,19,72,82,50
483,Esther Baker40,Director of Operations40,Permanent40,28,29,66,25,60,2,94,50
484,Brittany Hanson40,Fleet Coordinator40,Permanent40,32,90,14,97,77,56,15,50
485,Leah Flowers40,Parts Technician40,Permanent40,43,59,38,33,55,74,96,50
486,Tammy Sutton40,Service Technician40,Permanent40,48,19,76,70,66,66,76,50
487,Derek Paul40,Inventory Control40,Permanent40,2,52,36,6,92,28,26,50
488,Francis Strickland40,VP Sales40,Permanent40,92,24,22,46,33,60,70,50
489,Morris Hanson40,Sales Manager40,Permanent40,63,26,97,53,73,2,43,50
490,Todd Tyler40,Sales Executive40,Permanent40,77,66,61,26,5,4,55,50
491,Bennie Wise40,Sales Executive40,Permanent40,82,94,79,72,28,89,80,50
492,Joel Cooper40,Sales Executive40,Permanent40,77,47,84,90,94,20,81,50
493,Erica Rogers41,CEO41,Permanent41,70,74,90,16,64,38,2,50
494,Malcolm Barrett41,Exec. Vice Presiden41,Permanent41,74,16,91,12,29,50,39,50
495,Esther Baker41,Director of Operations41,Permanent41,21,89,16,59,70,8,13,50
496,Brittany Hanson41,Fleet Coordinator41,Permanent41,48,61,63,44,31,94,36,50
497,Leah Flowers41,Parts Technician41,Permanent41,40,76,59,61,34,16,94,50
498,Tammy Sutton41,Service Technician41,Permanent41,70,1,75,18,59,85,98,50
499,Derek Paul41,Inventory Control41,Permanent41,0,61,58,13,85,74,86,50
500,Francis Strickland41,VP Sales41,Permanent41,42,38,21,10,33,38,93,50
501,Morris Hanson41,Sales Manager41,Permanent41,58,51,99,60,57,32,97,50
502,Todd Tyler41,Sales Executive41,Permanent41,28,43,70,82,99,0,17,50
503,Bennie Wise41,Sales Executive41,Permanent41,43,64,43,24,49,35,95,50
504,Joel Cooper41,Sales Executive41,Permanent41,71,78,78,21,3,99,70,50
505,Erica Rogers42,CEO42,Permanent42,44,65,59,13,2,4,23,50
506,Malcolm Barrett42,Exec. Vice Presiden42,Permanent42,37,30,64,22,17,36,86,50
507,Esther Baker42,Director of Operations42,Permanent42,92,79,64,19,37,37,17,50
508,Brittany Hanson42,Fleet Coordinator42,Permanent42,71,37,30,21,51,39,54,50
509,Leah Flowers42,Parts Technician42,Permanent42,10,32,54,52,22,90,60,50
510,Tammy Sutton42,Service Technician42,Permanent42,97,0,24,79,20,63,82,50
511,Derek Paul42,Inventory Control42,Permanent42,60,9,66,46,94,18,6,50
512,Francis Strickland42,VP Sales42,Permanent42,93,66,17,14,50,16,7,50
513,Morris Hanson42,Sales Manager42,Permanent42,34,63,82,11,55,14,95,50
514,Todd Tyler42,Sales Executive42,Permanent42,53,68,68,73,20,15,71,50
515,Bennie Wise42,Sales Executive42,Permanent42,62,53,67,19,44,32,87,50
516,Joel Cooper42,Sales Executive42,Permanent42,20,83,98,59,1,91,71,50
517,Erica Rogers43,CEO43,Permanent43,84,36,10,92,49,36,87,50
518,Malcolm Barrett43,Exec. Vice Presiden43,Permanent43,70,54,75,68,96,52,44,50
519,Esther Baker43,Director of Operations43,Permanent43,99,76,93,73,80,64,22,50
520,Brittany Hanson43,Fleet Coordinator43,Permanent43,45,8,57,10,22,89,26,50
521,Leah Flowers43,Parts Technician43,Permanent43,16,0,38,20,67,96,61,50
522,Tammy Sutton43,Service Technician43,Permanent43,2,6,54,26,80,13,44,50
523,Derek Paul43,Inventory Control43,Permanent43,51,39,72,56,33,86,9,50
524,Francis Strickland43,VP Sales43,Permanent43,67,73,44,44,94,19,34,50
525,Morris Hanson43,Sales Manager43,Permanent43,13,49,2,46,73,86,13,50
526,Todd Tyler43,Sales Executive43,Permanent43,82,89,49,26,79,89,99,50
527,Bennie Wise43,Sales Executive43,Permanent43,27,89,30,32,55,10,53,50
528,Joel Cooper43,Sales Executive43,Permanent43,88,91,8,79,92,19,96,50
529,Erica Rogers44,CEO44,Permanent44,4,40,87,23,22,67,23,50
530,Malcolm Barrett44,Exec. Vice Presiden44,Permanent44,5,41,40,91,89,71,68,50
531,Esther Baker44,Director of Operations44,Permanent44,24,5,27,79,30,15,36,50
532,Brittany Hanson44,Fleet Coordinator44,Permanent44,76,53,5,10,99,28,95,50
533,Leah Flowers44,Parts Technician44,Permanent44,58,15,94,29,96,45,68,50
534,Tammy Sutton44,Service Technician44,Permanent44,48,50,10,21,41,82,93,50
535,Derek Paul44,Inventory Control44,Permanent44,72,71,92,26,73,9,12,50
536,Francis Strickland44,VP Sales44,Permanent44,88,87,58,88,59,74,11,50
537,Morris Hanson44,Sales Manager44,Permanent44,31,34,56,44,35,16,38,50
538,Todd Tyler44,Sales Executive44,Permanent44,50,10,60,27,16,2,37,50
539,Bennie Wise44,Sales Executive44,Permanent44,95,31,52,56,95,68,48,50
540,Joel Cooper44,Sales Executive44,Permanent44,33,78,97,90,9,46,53,50
541,Erica Rogers45,CEO45,Permanent45,0,54,48,78,63,38,0,50
542,Malcolm Barrett45,Exec. Vice Presiden45,Permanent45,48,62,84,85,91,42,69,50
543,Esther Baker45,Director of Operations45,Permanent45,71,53,73,3,81,7,93,50
544,Brittany Hanson45,Fleet Coordinator45,Permanent45,57,24,7,33,45,42,20,50
545,Leah Flowers45,Parts Technician45,Permanent45,32,69,95,64,53,11,28,50
546,Tammy Sutton45,Service Technician45,Permanent45,48,26,7,55,78,93,99,50
547,Derek Paul45,Inventory Control45,Permanent45,74,14,99,27,15,15,30,50
548,Francis Strickland45,VP Sales45,Permanent45,55,41,59,98,44,73,87,50
549,Morris Hanson45,Sales Manager45,Permanent45,24,55,79,88,42,1,23,50
550,Todd Tyler45,Sales Executive45,Permanent45,17,99,91,0,65,24,5,50
551,Bennie Wise45,Sales Executive45,Permanent45,75,17,71,64,69,79,44,50
552,Joel Cooper45,Sales Executive45,Permanent45,53,22,90,29,62,27,6,50
553,Erica Rogers46,CEO46,Permanent46,41,36,26,9,95,47,25,50
554,Malcolm Barrett46,Exec. Vice Presiden46,Permanent46,97,89,66,67,36,69,20,50
555,Esther Baker46,Director of Operations46,Permanent46,1,16,31,27,10,92,63,50
556,Brittany Hanson46,Fleet Coordinator46,Permanent46,17,33,84,77,87,17,0,50
557,Leah Flowers46,Parts Technician46,Permanent46,85,20,82,71,32,50,19,50
558,Tammy Sutton46,Service Technician46,Permanent46,70,6,14,32,9,1,91,50
559,Derek Paul46,Inventory Control46,Permanent46,89,60,22,48,69,45,28,50
560,Francis Strickland46,VP Sales46,Permanent46,44,58,21,25,1,6,60,50
561,Morris Hanson46,Sales Manager46,Permanent46,26,13,8,6,5,41,84,50
562,Todd Tyler46,Sales Executive46,Permanent46,1,83,98,22,90,90,56,50
563,Bennie Wise46,Sales Executive46,Permanent46,50,85,79,11,56,14,80,50
564,Joel Cooper46,Sales Executive46,Permanent46,40,13,41,68,48,56,91,50
565,Erica Rogers47,CEO47,Permanent47,0,3,89,90,9,41,77,50
566,Malcolm Barrett47,Exec. Vice Presiden47,Permanent47,1,49,51,28,66,26,93,50
567,Esther Baker47,Director of Operations47,Permanent47,45,8,5,34,85,42,51,50
568,Brittany Hanson47,Fleet Coordinator47,Permanent47,27,44,46,48,6,67,95,50
569,Leah Flowers47,Parts Technician47,Permanent47,77,67,73,33,99,3,25,50
570,Tammy Sutton47,Service Technician47,Permanent47,1,24,45,39,13,79,7,50
571,Derek Paul47,Inventory Control47,Permanent47,64,66,20,27,34,75,34,50
572,Francis Strickland47,VP Sales47,Permanent47,83,98,18,72,82,62,50,50
573,Morris Hanson47,Sales Manager47,Permanent47,81,55,83,58,57,2,98,50
574,Todd Tyler47,Sales Executive47,Permanent47,96,3,97,66,53,27,61,50
575,Bennie Wise47,Sales Executive47,Permanent47,1,77,88,82,92,52,88,50
576,Joel Cooper47,Sales Executive47,Permanent47,46,57,62,86,9,45,37,50
577,Erica Rogers48,CEO48,Permanent48,12,70,26,3,14,97,11,50
578,Malcolm Barrett48,Exec. Vice Presiden48,Permanent48,93,23,27,5,88,5,34,50
579,Esther Baker48,Director of Operations48,Permanent48,14,72,11,95,8,86,50,50
580,Brittany Hanson48,Fleet Coordinator48,Permanent48,38,14,0,90,40,56,81,50
581,Leah Flowers48,Parts Technician48,Permanent48,45,46,40,70,35,89,67,50
582,Tammy Sutton48,Service Technician48,Permanent48,24,80,55,32,5,28,20,50
583,Derek Paul48,Inventory Control48,Permanent48,29,64,38,0,6,30,92,50
584,Francis Strickland48,VP Sales48,Permanent48,30,7,7,9,21,98,57,50
585,Morris Hanson48,Sales Manager48,Permanent48,54,15,4,9,89,77,36,50
586,Todd Tyler48,Sales Executive48,Permanent48,60,93,97,38,99,43,73,50
587,Bennie Wise48,Sales Executive48,Permanent48,78,19,36,91,95,43,40,50
588,Joel Cooper48,Sales Executive48,Permanent48,68,5,54,10,35,73,85,50
589,Erica Rogers49,CEO49,Permanent49,2,12,90,59,92,91,54,50
590,Malcolm Barrett49,Exec. Vice Presiden49,Permanent49,30,49,25,61,38,85,19,50
591,Esther Baker49,Director of Operations49,Permanent49,45,84,46,48,50,55,79,50
592,Brittany Hanson49,Fleet Coordinator49,Permanent49,9,51,14,14,69,66,41,50
593,Leah Flowers49,Parts Technician49,Permanent49,82,31,16,37,23,17,82,50
594,Tammy Sutton49,Service Technician49,Permanent49,6,84,4,18,4,1,42,50
595,Derek Paul49,Inventory Control49,Permanent49,45,3,30,39,64,23,86,50
596,Francis Strickland49,VP Sales49,Permanent49,97,0,13,75,85,60,90,50
597,Morris Hanson49,Sales Manager49,Permanent49,0,6,7,58,99,67,36,50
598,Todd Tyler49,Sales Executive49,Permanent49,69,0,5,61,91,46,89,50
599,Bennie Wise49,Sales Executive49,Permanent49,90,29,84,81,54,56,62,50
600,Joel Cooper49,Sales Executive49,Permanent49,53,62,90,64,68,76,9,50
601,Erica Rogers50,CEO50,Permanent50,19,84,42,1,6,57,99,50
602,Malcolm Barrett50,Exec. Vice Presiden50,Permanent50,5,37,60,49,36,55,29,50
603,Esther Baker50,Director of Operations50,Permanent50,0,91,46,16,9,0,78,50
604,Brittany Hanson50,Fleet Coordinator50,Permanent50,55,94,19,4,31,1,79,50
605,Leah Flowers50,Parts Technician50,Permanent50,46,90,78,50,6,72,94,50
606,Tammy Sutton50,Service Technician50,Permanent50,88,19,51,83,98,2,96,50
607,Derek Paul50,Inventory Control50,Permanent50,25,77,40,29,49,67,27,50
608,Francis Strickland50,VP Sales50,Permanent50,20,34,9,33,10,98,49,50
609,Morris Hanson50,Sales Manager50,Permanent50,40,72,55,74,22,50,77,50
610,Todd Tyler50,Sales Executive50,Permanent50,87,71,47,68,67,10,98,50
611,Bennie Wise50,Sales Executive50,Permanent50,38,96,27,79,49,16,77,50
612,Joel Cooper50,Sales Executive50,Permanent50,41,61,82,66,62,65,80,50
613,Erica Rogers51,CEO51,Permanent51,80,38,86,87,86,66,8,50
614,Malcolm Barrett51,Exec. Vice Presiden51,Permanent51,53,25,32,14,46,4,96,50
615,Esther Baker51,Director of Operations51,Permanent51,75,44,93,1,5,0,36,50
616,Brittany Hanson51,Fleet Coordinator51,Permanent51,30,91,71,6,38,84,93,50
617,Leah Flowers51,Parts Technician51,Permanent51,22,49,17,2,91,0,40,50
618,Tammy Sutton51,Service Technician51,Permanent51,79,78,6,67,89,97,44,50
619,Derek Paul51,Inventory Control51,Permanent51,86,18,19,12,52,83,46,50
620,Francis Strickland51,VP Sales51,Permanent51,11,3,15,96,8,26,59,50
621,Morris Hanson51,Sales Manager51,Permanent51,40,18,74,76,59,67,47,50
622,Todd Tyler51,Sales Executive51,Permanent51,75,86,85,52,52,51,82,50
623,Bennie Wise51,Sales Executive51,Permanent51,1,42,83,35,64,62,40,50
624,Joel Cooper51,Sales Executive51,Permanent51,76,78,95,90,8,65,93,50
625,Erica Rogers52,CEO52,Permanent52,1,58,20,99,97,63,20,50
